experiment,experiment_dir,source_format,raw_model,model,category,gpu_name,auroc,aupr,precision,recall,f1,accuracy,val_auroc,val_aupr,val_f1,val_precision,val_recall,mean_latency_ms,throughput_fps,threshold_value,threshold_mode,train_samples,val_samples,test_samples,fit_seconds,mean_score_ok,mean_score_ng
jobA_anomalib_csflow_audiojack_20260427_135635,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_csflow_audiojack_20260427_135635,jobA,anomalib_csflow,csflow,audiojack,NVIDIA A100-SXM4-80GB,0.9411100249809927,0.9865801238536414,0.9671717171717171,0.8236559139784946,0.8896631823461092,0.8315602836879432,0.9596153846153845,0.9696095101540644,0.92,0.9583333333333334,0.8846153846153846,32.85004428,30.44135915492958,534.854004,val_f1,354.0,92.0,564.0,3152.644701,298.94286176893445,153702.98841245918
jobA_anomalib_csflow_bottle_cap_20260427_155939,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_csflow_bottle_cap_20260427_155939,jobA,anomalib_csflow,csflow,bottle_cap,NVIDIA A100-SXM4-80GB,0.9932879998239476,0.9986807021925228,0.9912663755458515,0.9891067538126361,0.990185387131952,0.9838709677419355,0.9980769230769231,0.998581226465842,0.9807692307692307,0.9807692307692307,0.9807692307692307,32.25913329,30.998974178403756,489.094604,val_f1,353.0,92.0,558.0,3274.004,168.57938442808208,355140.601402665
jobA_anomalib_csflow_button_battery_20260427_165527,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_csflow_button_battery_20260427_165527,jobA,anomalib_csflow,csflow,button_battery,NVIDIA A100-SXM4-80GB,0.9835494956213281,0.9965918066028124,0.9884526558891455,0.9204301075268817,0.9532293986636972,0.9252669039145908,0.9620315581854043,0.9666198766351052,0.9615384615384616,0.9615384615384616,0.9615384615384616,32.910271734,30.38565023474178,397.619293,val_f1,347.0,91.0,562.0,3192.714741,196.00531690145277,432475.02234523324
jobA_anomalib_csflow_end_cap_20260427_174948,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_csflow_end_cap_20260427_174948,jobA,anomalib_csflow,csflow,end_cap,NVIDIA A100-SXM4-80GB,0.8201163098070314,0.9546660895709258,0.8947368421052632,0.9081196581196581,0.9013785790031813,0.8353982300884956,0.7948717948717949,0.8437091154660673,0.8067226890756303,0.7164179104477612,0.9230769230769231,33.152694276,30.163460093896713,185.920654,val_f1,346.0,91.0,565.0,3196.490133,253.1264889903904,17630.04224946764
jobA_anomalib_draem_audiojack_20260427_220241,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_draem_audiojack_20260427_220241,jobA,anomalib_draem,draem,audiojack,NVIDIA H100 80GB HBM3,0.6458129683936135,0.901488297859155,0.8400852878464818,0.8473118279569892,0.8436830835117773,0.7411347517730497,0.6514423076923077,0.7464148411926975,0.7424242424242424,0.6125,0.9423076923076923,20.080972410999998,49.79838503155996,0.998614,val_f1,354.0,92.0,564.0,3283.82129,0.998858002701191,0.9991146387592439
jobA_anomalib_draem_bottle_cap_20260427_225803,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_draem_bottle_cap_20260427_225803,jobA,anomalib_draem,draem,bottle_cap,NVIDIA H100 80GB HBM3,0.9936841178671244,0.9987396519399567,0.9911894273127754,0.9803921568627451,0.9857612267250822,0.9767025089605734,0.9995192307692307,0.9996371552975329,0.9904761904761905,0.9811320754716981,1.0,19.957837923,50.10562849413886,0.999931,val_f1,353.0,92.0,558.0,3251.173628,0.9994706595786894,0.9999757838924466
jobA_anomalib_draem_plastic_nut_20260428_110545,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_draem_plastic_nut_20260428_110545,jobA,anomalib_draem,draem,plastic_nut,NVIDIA H100 80GB HBM3,0.41393839383938397,0.8077651437998921,0.8146788990825689,0.9866666666666667,0.892462311557789,0.8058076225045372,0.3907317073170732,0.5581300917628781,0.7142857142857143,0.5555555555555556,1.0,20.002003848,49.994991884580706,0.99897,val_f1,360.0,91.0,551.0,3326.195332,0.9993804297824898,0.9993424982494779
jobA_anomalib_draem_plastic_plug_20260428_120223,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_draem_plastic_plug_20260428_120223,jobA,anomalib_draem,draem,plastic_plug,NVIDIA H100 80GB HBM3,0.7104029990627929,0.9070789071425741,0.847953216374269,0.9415584415584416,0.8923076923076924,0.8121645796064401,0.5877712031558185,0.6187709850658951,0.7555555555555555,0.6144578313253012,0.9807692307692307,20.037324389,49.90686293958521,0.998879,val_f1,349.0,91.0,559.0,3208.292613,0.9993991016112652,0.9997610951656903
jobA_anomalib_draem_porcelain_doll_20260428_125649,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_draem_porcelain_doll_20260428_125649,jobA,anomalib_draem,draem,porcelain_doll,NVIDIA H100 80GB HBM3,0.8758895909544396,0.9673383019964188,0.9559228650137741,0.7462365591397849,0.8381642512077294,0.7615658362989324,0.8929980276134122,0.9200855292090901,0.8543689320388349,0.8627450980392157,0.8461538461538461,19.796245533,50.51462939585212,0.999244,val_f1,347.0,91.0,562.0,3190.120165,0.9985320125658488,0.9993875351003422
jobA_anomalib_stfpm_audiojack_20260427_160840,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_audiojack_20260427_160840,jobA,anomalib_stfpm,stfpm,audiojack,NVIDIA H100 80GB HBM3,0.7206690561529272,0.9255456393532047,0.8471953578336557,0.9419354838709677,0.8920570264765784,0.8120567375886525,0.6177884615384616,0.680557723181249,0.7536231884057971,0.6046511627906976,1.0,8.227133135,121.54901803426512,0.009335,val_f1,354.0,92.0,564.0,456.186801,0.012082932154751487,0.01863253611210053
jobA_anomalib_stfpm_bottle_cap_20260427_161723,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_bottle_cap_20260427_161723,jobA,anomalib_stfpm,stfpm,bottle_cap,NVIDIA H100 80GB HBM3,0.6661825223916727,0.8972300572976168,0.8589211618257261,0.9019607843137255,0.8799149840595112,0.7974910394265233,0.6721153846153847,0.7240244471857478,0.752,0.6438356164383562,0.9038461538461539,8.441192315,118.46666997294861,0.021283,val_f1,353.0,92.0,558.0,492.909023,0.02505067667237135,0.030216353350929703
jobA_anomalib_stfpm_button_battery_20260427_162626,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_button_battery_20260427_162626,jobA,anomalib_stfpm,stfpm,button_battery,NVIDIA H100 80GB HBM3,0.6914311051989801,0.9164290198501444,0.8731707317073171,0.7698924731182796,0.8182857142857143,0.7170818505338078,0.7140039447731756,0.7680632182219268,0.7931034482758621,0.71875,0.8846153846153846,8.255016722,121.13846167718667,0.028747,val_f1,347.0,91.0,562.0,483.203476,0.03041974078748644,0.037703118801757855
jobA_anomalib_stfpm_end_cap_20260427_163525,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_end_cap_20260427_163525,jobA,anomalib_stfpm,stfpm,end_cap,NVIDIA H100 80GB HBM3,0.5466781214203895,0.8743722170087022,0.8275229357798165,0.9636752136752137,0.8904244817374136,0.8035398230088495,0.6025641025641025,0.7231075158849353,0.7323943661971831,0.5777777777777777,1.0,8.2708111,120.90713074842199,0.027418,val_f1,346.0,91.0,565.0,467.493149,0.037095478246199715,0.04095667552871582
jobA_anomalib_stfpm_eraser_20260427_164420,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_eraser_20260427_164420,jobA,anomalib_stfpm,stfpm,eraser,NVIDIA H100 80GB HBM3,0.6015928515928516,0.8947368312194407,0.843298969072165,0.8739316239316239,0.8583420776495279,0.7619047619047619,0.5382075471698113,0.6651367771215104,0.7611940298507462,0.6296296296296297,0.9622641509433962,8.361542825999999,119.59515058611362,0.017549,val_f1,353.0,93.0,567.0,449.656068,0.025103161271398115,0.031415465992326155
jobA_anomalib_stfpm_fire_hood_20260427_165246,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_fire_hood_20260427_165246,jobA,anomalib_stfpm,stfpm,fire_hood,NVIDIA H100 80GB HBM3,0.7476886761523833,0.9300300890862296,0.8735083532219571,0.8079470198675497,0.8394495412844036,0.7472924187725631,0.7897058823529411,0.8070678019435432,0.7850467289719626,0.75,0.8235294117647058,8.133213034,122.95264652840397,0.014323,val_f1,360.0,91.0,554.0,597.924363,0.015055255945956353,0.022261881294185357
jobA_anomalib_stfpm_mint_20260427_170411,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_mint_20260427_170411,jobA,anomalib_stfpm,stfpm,mint,NVIDIA H100 80GB HBM3,0.5328632069012734,0.9191635349404352,0.9068150208623088,0.9969418960244648,0.9497450837581938,0.9042995839112344,0.5398274987316084,0.7446945078814466,0.8488372093023255,0.7373737373737373,1.0,8.570649212,116.67728133453562,0.029245,val_f1,240.0,100.0,721.0,377.600863,0.04229234587123145,0.043415491175852056
jobA_anomalib_stfpm_mounts_20260427_171655,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_mounts_20260427_171655,jobA,anomalib_stfpm,stfpm,mounts,NVIDIA L4,0.6278867102396515,0.8971865410126845,0.8278985507246377,0.9956427015250545,0.904055390702275,0.8264758497316637,0.5687500000000001,0.668167032217493,0.7222222222222222,0.5652173913043478,1.0,4.438490178,225.30183976261128,0.092653,val_f1,359.0,92.0,559.0,700.809323,0.10484484374523163,0.10883645508803573
jobA_anomalib_stfpm_pcb_20260427_172946,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_pcb_20260427_172946,jobA,anomalib_stfpm,stfpm,pcb,NVIDIA L4,0.587843500507256,0.8663689512540349,0.8314606741573034,0.9694323144104804,0.8951612903225806,0.8132854578096947,0.5725490196078431,0.6504342260613792,0.7194244604316546,0.5681818181818182,0.9803921568627451,4.434946286000001,225.4818664688427,0.10449,val_f1,354.0,91.0,557.0,736.166503,0.11759659760829175,0.12114662405379995
jobA_anomalib_stfpm_phone_battery_20260427_174342,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_phone_battery_20260427_174342,jobA,anomalib_stfpm,stfpm,phone_battery,NVIDIA L4,0.9204301075268817,0.9796032413164348,0.9211087420042644,0.9290322580645162,0.9250535331905781,0.8754448398576512,0.9358974358974359,0.9604147572861328,0.8849557522123894,0.819672131147541,0.9615384615384616,4.422267335000001,226.1283412462908,0.022318,val_f1,347.0,91.0,562.0,807.549085,0.021661501502637397,0.03243875475099651
jobA_anomalib_stfpm_plastic_nut_20260427_175826,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_plastic_nut_20260427_175826,jobA,anomalib_stfpm,stfpm,plastic_nut,NVIDIA L4,0.6185038503850384,0.880004830724026,0.822550831792976,0.9888888888888889,0.8980827447023209,0.8166969147005445,0.6024390243902439,0.6901643460485221,0.7142857142857143,0.5555555555555556,1.0,4.409159720000001,226.80058160237388,0.027929,val_f1,360.0,91.0,551.0,776.708563,0.03448228698482018,0.038235319637589985
jobA_anomalib_stfpm_plastic_plug_20260427_181254,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_plastic_plug_20260427_181254,jobA,anomalib_stfpm,stfpm,plastic_plug,NVIDIA L4,0.7152898647744008,0.9189250289004671,0.8571428571428571,0.922077922077922,0.8884254431699687,0.8085867620751341,0.7347140039447732,0.8209711985832349,0.7596899224806202,0.6363636363636364,0.9423076923076923,4.358770469,229.42249258160237,0.017068,val_f1,349.0,91.0,559.0,761.252558,0.022017249146226756,0.028929242448986092
jobA_anomalib_stfpm_porcelain_doll_20260427_182630,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_anomalib_stfpm_porcelain_doll_20260427_182630,jobA,anomalib_stfpm,stfpm,porcelain_doll,NVIDIA L4,0.717680966633411,0.9216643259079755,0.8829516539440203,0.7462365591397849,0.8088578088578089,0.708185053380783,0.7583826429980276,0.8204245711790338,0.7857142857142857,0.7333333333333333,0.8461538461538461,4.571513177000001,218.74594658753708,0.002278,val_f1,347.0,91.0,562.0,740.885921,0.002836732969729748,0.005906169158056058
jobA_rd4ad_audiojack_20260428_070513,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_audiojack_20260428_070513,jobA,rd4ad,rd4ad,audiojack,NVIDIA H100 80GB HBM3,0.8462908656457042,0.9562374357385869,0.9312638580931264,0.9032258064516129,0.9170305676855895,0.8652482269503546,0.8740384615384615,0.9010627512567375,0.8547008547008547,0.7692307692307693,0.9615384615384616,9.998436807,100.01563480613164,0.004769,val_f1,354.0,92.0,564.0,931.579916,0.004383693824315237,0.010719206578709105
jobA_rd4ad_bottle_cap_20260428_072113,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_bottle_cap_20260428_072113,jobA,rd4ad,rd4ad,bottle_cap,NVIDIA H100 80GB HBM3,0.8821988952707907,0.9716407653085077,0.9385749385749386,0.8322440087145969,0.8822170900692841,0.8172043010752689,0.9019230769230769,0.9295330635480769,0.8867924528301887,0.8703703703703703,0.9038461538461539,9.869934759,101.3177908025248,0.00148,val_f1,353.0,92.0,558.0,879.682975,0.0012743715802442772,0.005158246105890884
jobA_rd4ad_button_battery_20260428_073610,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_button_battery_20260428_073610,jobA,rd4ad,rd4ad,button_battery,NVIDIA H100 80GB HBM3,0.8630085356390644,0.9690126156581624,0.9236111111111112,0.8580645161290322,0.8896321070234113,0.8238434163701067,0.8984220907297831,0.9259603559044486,0.8571428571428571,0.8,0.9230769230769231,10.258165716,97.48331018935978,0.002668,val_f1,347.0,91.0,562.0,929.737136,0.0026194660998784852,0.009507829668150555
jobA_rd4ad_end_cap_20260428_075159,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_end_cap_20260428_075159,jobA,rd4ad,rd4ad,end_cap,NVIDIA H100 80GB HBM3,0.8637765441889155,0.9683263679832868,0.9420654911838791,0.7991452991452992,0.8647398843930636,0.7929203539823009,0.8860946745562129,0.9219206782594177,0.8448275862068966,0.765625,0.9423076923076923,10.023985948999998,99.7607141568981,0.001569,val_f1,346.0,91.0,565.0,863.935892,0.0013515682256127679,0.004604058217682128
jobA_rd4ad_eraser_20260428_080648,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_eraser_20260428_080648,jobA,rd4ad,rd4ad,eraser,NVIDIA H100 80GB HBM3,0.7930372097038763,0.9530152900304281,0.9141274238227147,0.7051282051282052,0.7961399276236429,0.7019400352733686,0.7584905660377358,0.8325395071104214,0.7524752475247525,0.7916666666666666,0.7169811320754716,10.014692529,99.85328854824166,0.000775,val_f1,353.0,93.0,567.0,888.72753,0.0006897231111787448,0.0031200575294161145
jobA_rd4ad_fire_hood_20260428_084945,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_fire_hood_20260428_084945,jobA,rd4ad,rd4ad,fire_hood,NVIDIA H100 80GB HBM3,0.8048433982471095,0.9489332661696249,0.8914027149321267,0.869757174392936,0.8804469273743016,0.8068592057761733,0.803921568627451,0.8527162166655194,0.8141592920353983,0.7419354838709677,0.9019607843137255,10.209666927999999,97.94638322813346,0.000638,val_f1,360.0,91.0,554.0,1060.274421,0.0008285533019288507,0.0027460383177297003
jobA_rd4ad_mint_20260428_090829,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_mint_20260428_090829,jobA,rd4ad,rd4ad,mint,NVIDIA H100 80GB HBM3,0.7079967136793098,0.9606722537528894,0.9147058823529411,0.9510703363914373,0.9325337331334332,0.8751733703190014,0.6017250126839168,0.8233751574386265,0.8520710059171598,0.75,0.9863013698630136,10.002754143999999,99.97246167718666,0.000736,val_f1,240.0,100.0,721.0,701.945945,0.0012536137364804745,0.002543411725077889
jobA_rd4ad_mounts_20260428_092108,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_mounts_20260428_092108,jobA,rd4ad,rd4ad,mounts,NVIDIA H100 80GB HBM3,0.8418082788671023,0.9640330279276452,0.8726114649681529,0.8954248366013072,0.8838709677419355,0.8067978533094812,0.8461538461538461,0.9031239871524194,0.8034188034188035,0.7230769230769231,0.9038461538461539,10.216471751999999,97.8811550946799,0.000897,val_f1,359.0,92.0,559.0,874.590653,0.001293660181981977,0.008662125867959376
jobA_rd4ad_pcb_20260428_093630,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 1\jobA_rd4ad_pcb_20260428_093630,jobA,rd4ad,rd4ad,pcb,NVIDIA H100 80GB HBM3,0.9211988884477968,0.9818833596987824,0.9617346938775511,0.8231441048034934,0.8870588235294118,0.8276481149012568,0.932843137254902,0.9453152875731574,0.9,0.9183673469387755,0.8823529411764706,10.009673195,99.90336339044184,0.003537,val_f1,354.0,91.0,557.0,930.632185,0.002545674698370876,0.009524462931671517
