experiment,experiment_dir,source_format,raw_model,model,category,gpu_name,defect_type,recall,support
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,Black spots,1.0,16
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,Cleaning felt,1.0,22
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,Degassing,1.0,23
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,Pigment spill,1.0,19
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,Scratch in extrusion direction,0.994334,353
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,Black spots,0.9375,16
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,Cleaning felt,1.0,22
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,Degassing,1.0,23
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,Pigment spill,0.947368,19
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,Scratch in extrusion direction,1.0,353
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,Black spots,1.0,16
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,Cleaning felt,1.0,22
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,Degassing,1.0,23
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,Pigment spill,1.0,19
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,Scratch in extrusion direction,1.0,353
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,Black spots,1.0,16
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,Cleaning felt,0.909091,22
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,Degassing,1.0,23
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,Pigment spill,0.947368,19
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,Scratch in extrusion direction,0.830028,353
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,Black spots,0.8421052631578947,19
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,Cleaning felt,1.0,24
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,Degassing,1.0,21
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,Pigment spill,1.0,23
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,Scratch in extrusion direction,1.0,347
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,Black spots,0.9473684210526315,19
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,Cleaning felt,1.0,24
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,Degassing,1.0,21
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,Pigment spill,0.9565217391304348,23
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,Scratch in extrusion direction,1.0,347
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,Black spots,1.0,16
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,Cleaning felt,1.0,22
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,Degassing,1.0,23
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,Pigment spill,1.0,19
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,Scratch in extrusion direction,0.957507,353
offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,offline_colab,subspacead,subspacead,Polymer_sheet,Tesla T4,Black spots,1.0,16
offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,offline_colab,subspacead,subspacead,Polymer_sheet,Tesla T4,Cleaning felt,1.0,22
