category,auroc,aupr,old_threshold_max_calibration,new_threshold_p95_calibration,threshold_delta_new_minus_old,threshold_ratio_new_over_old,calibration_score_min,calibration_score_mean,calibration_score_max,old_precision,old_recall,old_f1,old_accuracy,new_precision,new_recall,new_f1,new_accuracy,new_tp,new_fp,new_fn,new_tn,old_predicted_anomalies,new_predicted_anomalies,delta_predicted_anomalies,n_eval,n_eval_anomalies,n_eval_normals,eval_stream_idx_min,eval_stream_idx_max,calibration_first_image_id,calibration_last_image_id
porcelain_doll,0.4617010707000243,0.724143813436861,4.265525817871094,4.059083652496338,-0.20644216537475568,0.9516021765687518,3.6159539222717285,3.85679318189621,4.265525817871094,0.9333333333333333,0.027079303675048357,0.052631578947368425,0.28,0.6481481481481481,0.20309477756286268,0.30927835051546393,0.33,105,57,412,126,15,162,147,700,517,183,100,799,000201_porcelain_doll_0206_OK_C1_20230915112956,000300_porcelain_doll_0310_OK_C1_20230915125209
mint,0.46379156889716,0.9473400469039552,4.288598537445068,4.182951021194458,-0.10564751625061053,0.9753654917036021,3.840261697769165,4.059068353176117,4.288598537445068,0.8333333333333334,0.0068775790921595595,0.01364256480218281,0.04993429697766097,0.9117647058823529,0.04264099037138927,0.08147174770039423,0.08147174770039421,31,3,696,31,6,34,28,761,727,34,100,860,000201_mint_0282_OK_C1_20230908153443,000300_mint_0439_OK_C1_20230908162026
regulator,0.5728162854599637,0.7764841578754437,3.9941751956939697,3.9510052680969237,-0.043169927597046076,0.9891917791579131,3.7164149284362793,3.8148093152046205,3.9941751956939697,0.9166666666666666,0.0210727969348659,0.04119850187265918,0.28888888888888886,0.8043478260869565,0.07088122605363985,0.13028169014084506,0.3138888888888889,37,9,485,189,12,46,34,720,522,198,100,819,000201_regulator_0202_OK_C1_20231010161630,000300_regulator_0302_OK_C1_20231010164518
plastic_nut,0.5842673267326732,0.76178247301367,3.9864461421966553,3.949931764602661,-0.03651437759399423,0.9908403685158346,3.6919758319854736,3.834869451522827,3.9864461421966553,0.7553648068669528,0.352,0.48021828103683495,0.45726495726495725,0.7570093457943925,0.486,0.5919610231425091,0.5227920227920227,243,78,257,124,233,321,88,702,500,202,100,801,000201_plastic_nut_0201_OK_C1_20230930143042,000300_plastic_nut_0300_OK_C1_20230930152318
u_block,0.5959960121247521,0.8176172091453232,4.233631610870361,4.092221975326538,-0.14140963554382324,0.9665985025289549,3.799849271774292,3.9564083576202393,4.233631610870361,1.0,0.06212424849699399,0.1169811320754717,0.32951289398280803,0.9291338582677166,0.23647294589178355,0.3769968051118211,0.44126074498567336,118,9,381,190,31,127,96,698,499,199,100,797,000201_u_block_0202_OK_C1_20231005101500,000300_u_block_0302_OK_C1_20231005105614
phone_battery,0.6014681168151695,0.8421304382396254,4.274165630340576,4.171583247184754,-0.10258238315582258,0.9759994366087192,3.810091972351074,3.990435893535614,4.274165630340576,0.9876543209876543,0.15473887814313347,0.2675585284280937,0.3742857142857143,0.9541984732824428,0.24177949709864605,0.38580246913580246,0.43142857142857144,125,6,392,177,81,131,50,700,517,183,100,799,000201_phone_battery_0208_OK_C1_20230918123124,000300_phone_battery_0310_OK_C1_20230918132228
vcpill,0.6097510860631677,0.8261703013815629,4.426489353179932,4.206925725936889,-0.21956362724304235,0.9503977961484735,3.6620395183563232,3.979936354160309,4.426489353179932,1.0,0.0998003992015968,0.18148820326678766,0.36028368794326243,0.9752066115702479,0.23552894211576847,0.3794212218649518,0.4524822695035461,118,3,383,201,50,121,71,705,501,204,100,804,000201_vcpill_0201_OK_C1_20230920171157,000300_vcpill_0300_OK_C1_20230920184135
terminalblock,0.630402552121144,0.8532283677614644,3.951796293258667,3.9000604867935182,-0.05173580646514875,0.9869082810383206,3.6887691020965576,3.8026442241668703,3.951796293258667,1.0,0.10516252390057361,0.1903114186851211,0.3408450704225352,0.9901960784313726,0.1931166347992352,0.3232,0.4042253521126761,101,1,422,186,55,102,47,710,523,187,100,809,000201_terminalblock_0213_OK_C1_20231019154127,000300_terminalblock_0312_OK_C1_20231019162212
usb_adaptor,0.6608374779399968,0.8801217900687006,4.117534637451172,4.057285761833191,-0.06024887561798131,0.9853677307119688,3.8845043182373047,3.973577916622162,4.117534637451172,0.9805825242718447,0.1863468634686347,0.3131782945736434,0.36984352773826457,0.9411764705882353,0.2952029520295203,0.44943820224719105,0.4423897581792319,160,10,382,151,103,170,67,703,542,161,100,802,000201_usb_adaptor_0221_OK_C1_20230923193341,000300_usb_adaptor_0328_OK_C1_20230923195516
toy_brick,0.6755263370170203,0.8404923143571219,4.630743980407715,4.502999305725098,-0.1277446746826172,0.9724137902628402,3.6077895164489746,4.1012184429168705,4.630743980407715,0.9803921568627451,0.09881422924901186,0.17953321364452424,0.349002849002849,0.8979591836734694,0.17391304347826086,0.2913907284768212,0.3903133903133903,88,10,418,186,51,98,47,702,506,196,100,801,000201_toy_brick_0203_OK_C1_20230917100712,000300_toy_brick_0303_OK_C1_20230917103159
