experiment,experiment_dir,model,category,gpu_name,auroc,aupr,global_auroc,precision,recall,f1,accuracy,mean_latency_ms,throughput_fps,threshold_value,warmup_frames,calibration_frames,streaming_frames,mean_score_ok,mean_score_ng,_report_mtime_ns,_report_size,_frames_mtime_ns,_frames_size
coldstart_csflow_real_iad_audiojack,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_audiojack,csflow,audiojack,Tesla T4,0.744239885348914,0.8805225676169193,0.7210891853158417,0.9,0.4003868471953578,0.5542168674698795,0.5309859154929577,135.8150972746418,6.244243255588934,3.848443508148194,200,100,710,3.775896161331414,3.8522202784134296,1779134003354221600,2539,1779134003385519400,223265
coldstart_csflow_real_iad_bottle_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_bottle_cap,csflow,bottle_cap,NVIDIA L4,0.9928856816699284,0.9976049631207988,0.9808637067840836,0.9918032786885246,0.9471624266144814,0.968968968968969,0.9559032716927454,84.9384041607376,8.900245514724654,3.848058938980103,200,100,703,3.7341666308542094,3.9641080798468247,1779011890145596600,2555,1779011890027010200,221420
coldstart_csflow_real_iad_button_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_button_battery,csflow,button_battery,NVIDIA L4,0.8503873756751329,0.9376832880441428,0.8168130555643636,0.993006993006993,0.2746615087040619,0.4303030303030303,0.4628571428571428,86.26475354857442,9.024055125632293,4.0193586349487305,200,100,700,3.82814610851267,3.972447878156917,1779011889333532200,2566,1779011889298243700,224768
coldstart_csflow_real_iad_end_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_end_cap,csflow,end_cap,NVIDIA L4,0.754268808114962,0.8939433534940457,0.7294748520710059,0.9852941176470588,0.1288461538461538,0.227891156462585,0.3532763532763532,86.20893539030939,8.93108614646898,4.061216831207275,200,100,702,3.8765171949680033,3.9555844921332137,1779011891172964400,2546,1779011891155138700,217476
coldstart_csflow_real_iad_eraser,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_eraser,csflow,eraser,NVIDIA L4,0.786413347728727,0.914118041910384,0.7664947216890595,0.9905660377358492,0.201535508637236,0.3349282296650718,0.4151472650771388,87.20159017391394,8.98516389421975,4.128729343414307,200,100,713,3.8430413492023945,4.000933785356167,1779011889433241300,2547,1779011889444323500,218913
coldstart_csflow_real_iad_fire_hood,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_fire_hood,csflow,fire_hood,NVIDIA L4,0.7856649293216458,0.8997930032307007,0.7801320777067046,0.9489795918367347,0.1845238095238095,0.3089700996677741,0.4099290780141844,86.0028817914897,8.710681185703653,4.461129665374756,200,100,705,3.941165027333729,4.200311447892871,1779011890906926500,2551,1779011890952715600,220017
coldstart_csflow_real_iad_mint,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_mint,csflow,mint,NVIDIA L4,0.46379156889716,0.9473400469039552,0.4639938506351647,0.8333333333333334,0.0068775790921595,0.0136425648021828,0.0499342969776609,84.468139752964,8.944623580999574,4.288598537445068,200,100,761,3.995451597606434,3.982018244479677,1779011889778567200,2541,1779011889799270800,228045
coldstart_csflow_real_iad_mounts,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_mounts,csflow,mounts,NVIDIA L4,0.8239927622456706,0.9325837283853692,0.7944369597498254,0.970479704797048,0.5146771037181996,0.6726342710997443,0.6394366197183099,85.14695413238928,9.142502194028197,3.974243402481079,200,100,710,3.876239830525077,3.9845416153946966,1779011889243390200,2548,1779011889202954000,218209
coldstart_csflow_real_iad_pcb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_pcb,csflow,pcb,NVIDIA L4,0.7197593574722355,0.8715229322802729,0.6860806009955516,1.0,0.0176817288801571,0.0347490347490347,0.2877492877492877,86.4902888347575,8.95453693647727,4.058823108673096,200,100,702,3.819662059526987,3.875006026509703,1779011890570553900,2523,1779011890583318200,213503
coldstart_csflow_real_iad_phone_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_phone_battery,csflow,phone_battery,NVIDIA L4,0.6014681168151695,0.8421304382396254,0.610341292238746,0.9876543209876544,0.1547388781431334,0.2675585284280937,0.3742857142857143,85.00102736429848,8.881541625289952,4.274165630340576,200,100,700,4.009216989975809,4.082720782816756,1779011891275034900,2560,1779011891267003800,222908
coldstart_csflow_real_iad_plastic_nut,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_plastic_nut,csflow,plastic_nut,NVIDIA L4,0.5842673267326732,0.76178247301367,0.5702376237623762,0.7553648068669528,0.352,0.4802182810368349,0.4572649572649572,84.89373925213032,8.85485906933112,3.9864461421966553,200,100,702,3.93092675374286,3.95831152009964,1779011889699072500,2545,1779011889682949200,222149
coldstart_csflow_real_iad_plastic_plug,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_plastic_plug,csflow,plastic_plug,NVIDIA L4,0.7755810284993165,0.9090942374273756,0.7702071721526974,0.9864864864864864,0.1420233463035019,0.2482993197278911,0.3676680972818312,85.97756143918915,8.734931559869509,4.157971382141113,200,100,699,3.8438050128318166,3.975875903660221,1779011891040306700,2560,1779011891033403800,221740
coldstart_csflow_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_porcelain_doll,csflow,porcelain_doll,NVIDIA L4,0.4617010707000243,0.724143813436861,0.4718637367747936,0.9333333333333332,0.0270793036750483,0.0526315789473684,0.28,86.68323826285157,8.88113812127682,4.265525817871094,200,100,700,3.970269776432892,3.957978140685268,1779011889001730000,2551,1779011888986567800,223967
coldstart_csflow_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_regulator,csflow,regulator,NVIDIA L4,0.5728162854599637,0.7764841578754437,0.5631458260768606,0.9166666666666666,0.0210727969348659,0.0411985018726591,0.2888888888888888,86.04383421666184,9.068516076949155,3.9941751956939697,200,100,720,3.812323965207495,3.8290919608996745,1779011889076559700,2555,1779011889067115800,224372
coldstart_csflow_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_rolled_strip_base,csflow,rolled_strip_base,NVIDIA L4,0.7813597728104809,0.905136454854573,0.7372923283957213,0.9673202614379084,0.2884990253411306,0.4444444444444444,0.4788732394366197,86.887118507047,8.706711381019947,4.0208282470703125,200,100,710,3.8990987956826455,3.974579098628976,1779011892637945700,2569,1779011892621350600,230061
coldstart_csflow_real_iad_sim_card_set,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_sim_card_set,csflow,sim_card_set,NVIDIA L4,0.8907380895569872,0.957820022353784,0.8524665950847053,1.0,0.0787401574803149,0.145985401459854,0.3371104815864023,85.31992450707033,8.641116673610583,4.325207710266113,200,100,706,4.011699310456864,4.159726408522899,1779011890984853700,2541,1779011890997515000,223124
coldstart_csflow_real_iad_switch,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_switch,csflow,switch,NVIDIA L4,0.7153515122265122,0.8874327624847422,0.6721515041827542,1.0,0.1756756756756756,0.2988505747126437,0.3985915492957746,86.30554790283576,9.05137799718002,3.9438955783844,200,100,710,3.852816135933002,3.8950650912914497,1779011890457336000,2535,1779011890440859700,219029
coldstart_csflow_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_tape,csflow,tape,NVIDIA L4,0.7353653846153847,0.9012745350216496,0.728798076923077,0.9907407407407408,0.4115384615384615,0.5815217391304347,0.5722222222222222,85.5115837930877,9.192490707616484,4.050776958465576,200,100,720,3.87773594379425,4.0717496064993055,1779011889920287200,2541,1779011889937242100,218400
