experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_csflow_real_iad_audiojack,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_audiojack,csflow,audiojack,Tesla T4,0.744239885348914,0.8805225676169193,0.5542168674698795,135.8150972746418,1779134003354221600,2539
coldstart_csflow_real_iad_bottle_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_bottle_cap,csflow,bottle_cap,NVIDIA L4,0.9928856816699284,0.9976049631207988,0.968968968968969,84.9384041607376,1779011890145596600,2555
coldstart_csflow_real_iad_button_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_button_battery,csflow,button_battery,NVIDIA L4,0.8503873756751329,0.9376832880441428,0.4303030303030303,86.26475354857442,1779011889333532200,2566
coldstart_csflow_real_iad_end_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_end_cap,csflow,end_cap,NVIDIA L4,0.754268808114962,0.8939433534940457,0.227891156462585,86.20893539030939,1779011891172964400,2546
coldstart_csflow_real_iad_eraser,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_eraser,csflow,eraser,NVIDIA L4,0.786413347728727,0.914118041910384,0.3349282296650718,87.20159017391394,1779011889433241300,2547
coldstart_csflow_real_iad_fire_hood,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_fire_hood,csflow,fire_hood,NVIDIA L4,0.7856649293216458,0.8997930032307007,0.3089700996677741,86.0028817914897,1779011890906926500,2551
coldstart_csflow_real_iad_mint,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_mint,csflow,mint,NVIDIA L4,0.46379156889716,0.9473400469039552,0.0136425648021828,84.468139752964,1779011889778567200,2541
coldstart_csflow_real_iad_mounts,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_mounts,csflow,mounts,NVIDIA L4,0.8239927622456706,0.9325837283853692,0.6726342710997443,85.14695413238928,1779011889243390200,2548
coldstart_csflow_real_iad_pcb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_pcb,csflow,pcb,NVIDIA L4,0.7197593574722355,0.8715229322802729,0.0347490347490347,86.4902888347575,1779011890570553900,2523
coldstart_csflow_real_iad_phone_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_phone_battery,csflow,phone_battery,NVIDIA L4,0.6014681168151695,0.8421304382396254,0.2675585284280937,85.00102736429848,1779011891275034900,2560
coldstart_csflow_real_iad_plastic_nut,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_plastic_nut,csflow,plastic_nut,NVIDIA L4,0.5842673267326732,0.76178247301367,0.4802182810368349,84.89373925213032,1779011889699072500,2545
coldstart_csflow_real_iad_plastic_plug,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_plastic_plug,csflow,plastic_plug,NVIDIA L4,0.7755810284993165,0.9090942374273756,0.2482993197278911,85.97756143918915,1779011891040306700,2560
coldstart_csflow_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_porcelain_doll,csflow,porcelain_doll,NVIDIA L4,0.4617010707000243,0.724143813436861,0.0526315789473684,86.68323826285157,1779011889001730000,2551
coldstart_csflow_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_regulator,csflow,regulator,NVIDIA L4,0.5728162854599637,0.7764841578754437,0.0411985018726591,86.04383421666184,1779011889076559700,2555
coldstart_csflow_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_rolled_strip_base,csflow,rolled_strip_base,NVIDIA L4,0.7813597728104809,0.905136454854573,0.4444444444444444,86.887118507047,1779011892637945700,2569
