experiment,experiment_dir,model,category,gpu_name,corruption,severity,auroc,aupr,precision,recall,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s1,csflow,Polymer_sheet,Tesla T4,gaussian_noise,1,0.9936894882434301,0.9996942857315451,1.0,0.983402489626556,0.9916317991631798,162.04992493478383,1779820857313801500,2663
coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s2,csflow,Polymer_sheet,Tesla T4,gaussian_noise,2,0.9844398340248962,0.9992463027474953,1.0,0.9626556016597511,0.9809725158562368,160.37287050199376,1779820868082466800,2660
coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_gaussian_noise_s3,csflow,Polymer_sheet,Tesla T4,gaussian_noise,3,0.7926175656984786,0.9884504145095458,0.9965986394557823,0.6078838174273858,0.7551546391752577,158.55937631620424,1779820846859219700,2673
coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s1,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,1,1.0,1.0,1.0,1.0,1.0,34.02790144071418,1779820855181366100,2600
coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s2,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,2,1.0,1.0,1.0,1.0,1.0,33.67764280830728,1779820851059225200,2607
coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_motion_blur_s3,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,3,1.0,1.0,1.0,1.0,1.0,33.93123964229499,1779820866159877800,2620
coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s1,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,1,0.509768326417704,0.967283467352299,1.0,0.34232365145228216,0.5100463678516228,33.51768710671949,1779820876840785200,2683
coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s2,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,2,0.5405428769017981,0.9692130427518929,1.0,0.34024896265560167,0.5077399380804953,33.602848776682244,1779820852705249200,2686
coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_csflow_polymer_sheet_Polymer_sheet_shot_noise_s3,csflow,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,3,0.640127939142462,0.9768824278993258,1.0,0.36099585062240663,0.5304878048780488,34.143550879441484,1779820863642825400,2688
coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s1,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,1,0.5756829183955741,0.9725049816771245,0.9948979591836735,0.4045643153526971,0.5752212389380531,19.475691385375857,1779827373308656900,2711
